,title,view_count,favorability,likes,dislikes,video_id
226792,Behind The Set Of Squid Game,3808457,0.963466421012425,87388,1626,I1Rei-EpAB8
97235,"Dilsinho, Bianca Andrade - Hollywood",850069,0.97398588064377,43480,573,QpyVX56kQlY
587567,隠していたことがあります。やっと公表する覚悟ができました。,1731901,0.7098651735062256,34812,5907,stHhVJMIaxw
890195,Три недели протестам в Беларуси: уйдёт ли Лукашенко? Что говорят минчане,547759,0.9479890971797297,35019,935,g4KUu2kNQQU
767093,재난지원금,1973490,0.8615477525666465,53943,4012,o31kKZbxDro
201010,"We Paid Animators $10,000 for THIS?",1477602,0.9916514989695995,132403,555,UrM0IiGghCw
293830,WIR FRITTIEREN DEN GRÖßTEN CHIP DER WELT! (Offizieller Rekordversuch🥔),358962,0.9779472513504925,31123,347,BjqCWAgJJpQ
123724,Zé Neto e Cristiano - FICA PRA DORMIR - DVD Chaaama,1679414,0.9716858656005934,47840,687,SLB8QUwIgns
537584,I Ate Only MANGOES For 24 Hours Challenge🥭 Tried Innovative Recipes 😅,822944,0.9264773398045517,58746,2242,rCSIHyBdvL0
775312,무하마드의 광란의 춤,187703,0.9672692673644149,5169,86,AlJ93-8MY7w
861986,아스트로 (ASTRO) - 'ALIVE' Official Music Video PREVIEW,141852,0.9955305091333074,30807,69,fXzYA8WGX7k
401140,Le DUO INFERNAL fait encore mumuse !,210483,0.9882877607099418,22069,130,oQUTaL7PLL8
547740,Anaanya Vs Shanaya Father’s Day Special | DIY Surprise Card | RS 1313 VLOGS | Ramneek Singh 1313,369408,0.9188100402850945,18576,786,H5OVpk7Wrms
418702,Projet 2022 : On a acheté un fourgon (et on va l'aménager) pour notre famille de 6,37205,0.9704681118441721,3136,47,ffxKtEMVkE8
606375,アカペラ対決めっちゃうまい！？激戦！,175436,0.9409685401201838,5491,167,r6eCFXg_WF4
475379,Entry-Level Jobs In 2021,907976,0.9870735622030958,92233,600,yYIlI5o2LZo
455592,Working In A Small Industrial Unit | Thomas Nagy,26867,0.9695767195767195,1489,23,Tn6BsahWlew
218475,Minecraft But Villagers Beat the game for you,2478441,0.9308856807058782,55037,1970,6UbiPJkc-4U
108162,"Flamengo começa e termina bem, goleia DyJ, Renato acerta nas trocas, mas velhos problemas persistem",174683,0.9531836195508586,18482,443,lw0dN7A0hwc
129449,BOTA A MAO NO CHAO - O FOPI VAI TE DAR CATUCADAO - FUNK DO TIK TOK (DJ Felipe Cardoso),1420278,0.9617537637773373,28211,550,UBmlR1VZdxs
511321,Mara Nehaka Lagya - HD Video - Jignesh Barot - Jigar Studio,1125431,0.888550618520945,24503,1446,t-bGXAUXd2U
477339,Tyson Fury responds to Anthony Joshua & Eddie Hearn | Overlap Xtra,603843,0.9239852398523986,10428,412,9PUnaCntfBY
820924,ZARAMAY X TEAM MATI X KING GOYI - TANTO FRONTEO,712692,0.884932972286297,56384,3442,8MRr3MrSTQk
855564,Sobreviví 100 Días Como un Ahogado en Minecraft Hardcore y esto es lo que pasó…,3039790,0.9775795792383873,261085,2960,hTTmCFc8-Nw
759544,고딩 수포자 카톡방에 숨은 수학쌤 찾기(feat.이투스 고정민),928126,0.9828948322099007,13679,118,_MUXpcxktDg
